n;id;mac;strength;ssid;zone;floor;datetime
1;3510;cc:5d:4e:fc:9b:56;-71;ZyXEL_KEENETIC_GIGA_FC9B56;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
2;3511;9e:93:4e:39:c7:f5;-71;DIRECT-XyPhaser 3020;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
3;3512;16:91:82:28:40:d8;-79;;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
4;3513;58:ac:78:eb:e6:e2;-79;bmstu_staff;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
5;3514;58:ac:78:eb:e6:e0;-81;bmstu_student;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
6;3515;58:ac:78:eb:e6:e1;-82;bmstu_guest;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
7;3516;b8:a3:86:44:ae:a7;-82;mgts for sbrf;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
8;3517;58:ac:78:eb:e6:ed;-83;bmstu_staff;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
9;3518;58:ac:78:eb:e6:ef;-84;bmstu_student;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
10;3519;58:ac:78:eb:e6:ee;-84;bmstu_guest;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
11;3520;14:91:82:28:40:d6;-85;;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
12;3521;9e:93:4e:39:c7:fa;-89;DIRECT-QnPhaser 3020;5;2;Tue Apr 13 17:14:45 GMT+03:00 2021
13;3522;cc:5d:4e:fc:9b:56;-66;ZyXEL_KEENETIC_GIGA_FC9B56;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
14;3523;16:91:82:28:40:d8;-68;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
15;3524;14:91:82:28:40:d6;-69;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
16;3525;9e:93:4e:39:c7:f5;-69;DIRECT-XyPhaser 3020;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
17;3526;58:ac:78:eb:e6:e2;-73;bmstu_staff;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
18;3527;58:ac:78:eb:e6:e0;-74;bmstu_student;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
19;3528;58:ac:78:eb:e6:e1;-76;bmstu_guest;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
20;3529;b8:a3:86:44:ae:a7;-77;mgts for sbrf;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
21;3530;58:ac:78:eb:e6:ed;-78;bmstu_staff;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
22;3531;58:ac:78:eb:e6:ef;-79;bmstu_student;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
23;3532;40:49:0f:60:fb:f2;-79;HP-Print-F2-LaserJet Pro MFP;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
24;3533;58:ac:78:eb:e6:ee;-80;bmstu_guest;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
25;3534;9e:93:4e:39:c7:fa;-80;DIRECT-QnPhaser 3020;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
26;3535;38:6b:1c:1d:f7:f3;-85;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
27;3536;50:ff:20:39:ce:ed;-85;Keenetic-2054;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
28;3537;14:91:82:28:40:d7;-87;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
29;3538;52:ff:20:49:ce:ed;-87;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
30;3539;7c:a7:b0:12:33:51;-88;HDC-E5100W-0hqIpJ;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
31;3540;00:a6:ca:5e:67:00;-89;;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
32;3541;3c:9d:56:fd:59:2b;-89;hw_manage_5920;4;2;Tue Apr 13 17:15:03 GMT+03:00 2021
33;3542;14:91:82:28:40:d6;-69;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
34;3543;cc:5d:4e:fc:9b:56;-70;ZyXEL_KEENETIC_GIGA_FC9B56;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
35;3544;7c:a7:b0:12:33:51;-72;HDC-E5100W-0hqIpJ;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
36;3545;98:de:d0:88:8a:2e;-72;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
37;3546;58:ac:78:eb:e6:e2;-73;bmstu_staff;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
38;3547;58:ac:78:eb:e6:e0;-74;bmstu_student;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
39;3548;58:ac:78:eb:e6:e1;-76;bmstu_guest;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
40;3549;b8:a3:86:44:ae:a7;-77;mgts for sbrf;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
41;3550;52:ff:20:49:ce:ed;-77;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
42;3551;40:49:0f:60:fb:f2;-78;HP-Print-F2-LaserJet Pro MFP;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
43;3552;58:ac:78:eb:e6:ef;-79;bmstu_student;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
44;3553;58:ac:78:eb:e6:ee;-80;bmstu_guest;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
45;3554;50:ff:20:39:ce:ed;-81;Keenetic-2054;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
46;3555;00:a6:ca:5e:67:00;-82;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
47;3556;16:91:82:28:40:d8;-84;;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
48;3557;9e:93:4e:39:c7:fa;-85;DIRECT-QnPhaser 3020;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
49;3558;3c:9d:56:fd:59:eb;-86;hw_manage_59e0;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
50;3559;3c:9d:56:fd:59:2b;-89;hw_manage_5920;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
51;3560;9e:93:4e:39:c7:f5;-90;DIRECT-XyPhaser 3020;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
52;3561;30:b5:c2:bf:e2:82;-91;my_wifi;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
53;3562;2a:56:5a:49:09:25;-92;DIRECT-25-HP M130 LaserJet;4;2;Tue Apr 13 17:15:13 GMT+03:00 2021
54;3563;cc:5d:4e:fc:9b:56;-70;ZyXEL_KEENETIC_GIGA_FC9B56;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
55;3564;7c:a7:b0:12:33:51;-72;HDC-E5100W-0hqIpJ;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
56;3565;98:de:d0:88:8a:2e;-72;;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
57;3566;52:ff:20:49:ce:ed;-75;;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
58;3567;16:2c:0a:10:d6:57;-77;Durachok_Production;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
59;3568;0a:c5:e1:a9:2e:d9;-77;AndroidAP2ed9;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
60;3569;40:49:0f:60:fb:f2;-78;HP-Print-F2-LaserJet Pro MFP;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
61;3570;50:ff:20:39:ce:ed;-79;Keenetic-2054;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
62;3571;00:a6:ca:5e:67:00;-82;;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
63;3572;ac:92:32:e1:34:b8;-83;Honor 8X;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
64;3573;16:91:82:28:40:d8;-84;;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
65;3574;3c:9d:56:fd:59:eb;-90;hw_manage_59e0;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
66;3575;c0:25:5c:82:26:59;-90;bmstu_guest;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
67;3576;30:b5:c2:bf:e2:82;-91;my_wifi;4;2;Tue Apr 13 17:15:25 GMT+03:00 2021
68;3577;0a:c5:e1:a9:2e:d9;-77;AndroidAP2ed9;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
69;3578;c0:25:5c:82:26:59;-79;bmstu_guest;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
70;3579;2a:56:5a:49:09:25;-81;DIRECT-25-HP M130 LaserJet;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
71;3580;ac:92:32:e1:34:b8;-82;Honor 8X;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
72;3581;52:ff:20:49:ce:ed;-83;;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
73;3582;3c:9d:56:fd:59:eb;-84;hw_manage_59e0;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
74;3583;c0:25:5c:82:1a:79;-84;bmstu_guest;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
75;3584;c0:25:5c:82:1a:71;-84;bmstu_staff;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
76;3585;c0:25:5c:82:1a:70;-84;bmstu_lb;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
77;3586;b8:a3:86:65:aa:3b;-84;e10-a1;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
78;3587;16:2c:0a:10:d6:57;-85;Durachok_Production;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
79;3588;50:ff:20:39:ce:ed;-86;Keenetic-2054;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
80;3589;50:ff:20:1c:c0:1b;-87;e10-a3;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
81;3590;c0:25:5c:82:26:5f;-88;bmstu_lb;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
82;3591;c0:25:5c:82:26:5e;-88;bmstu_staff;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
83;3592;50:17:ff:de:1c:c9;-88;bmstu_guest;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
84;3593;c0:25:5c:82:26:56;-89;bmstu_guest;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
85;3594;50:17:ff:de:06:d9;-92;bmstu_guest;4;2;Tue Apr 13 17:15:30 GMT+03:00 2021
86;3595;c0:25:5c:82:26:51;-72;bmstu_staff;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
87;3596;c0:25:5c:82:26:50;-74;bmstu_lb;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
88;3597;c0:25:5c:82:26:59;-75;bmstu_guest;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
89;3598;52:ff:20:1c:c0:1b;-78;E10-NETWORK;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
90;3599;50:ff:20:1c:c0:1b;-79;e10-a3;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
91;3600;52:ff:20:4c:c0:1b;-80;;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
92;3601;b8:a3:86:65:aa:3b;-82;e10-a1;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
93;3602;52:ff:20:49:ce:ed;-83;;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
94;3603;3c:9d:56:fd:59:eb;-84;hw_manage_59e0;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
95;3604;c0:25:5c:82:1a:71;-84;bmstu_staff;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
96;3605;c0:25:5c:82:1a:70;-84;bmstu_lb;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
97;3606;50:ff:20:1c:c0:1d;-84;e10-a3;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
98;3607;16:2c:0a:10:d6:57;-85;Durachok_Production;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
99;3608;c0:25:5c:82:1a:79;-85;bmstu_guest;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
100;3609;50:ff:20:39:ce:ed;-86;Keenetic-2054;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
101;3610;ac:92:32:e1:34:b8;-86;Honor 8X;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
102;3611;b2:0c:d1:3b:7d:84;-86;DIRECT-84-HP M28 LaserJet;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
103;3612;50:17:ff:de:1c:c9;-88;bmstu_guest;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
104;3613;c0:25:5c:82:26:5e;-89;bmstu_staff;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
105;3614;c0:25:5c:82:26:56;-89;bmstu_guest;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
106;3615;c0:25:5c:82:26:5f;-92;bmstu_lb;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
107;3616;50:17:ff:de:06:d9;-92;bmstu_guest;4;2;Tue Apr 13 17:15:34 GMT+03:00 2021
108;3617;50:ff:20:1c:c0:1b;-71;e10-a3;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
109;3618;52:ff:20:1c:c0:1b;-71;E10-NETWORK;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
110;3619;5c:f4:ab:ce:c1:d8;-71;Keenetic-0409;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
111;3620;c0:25:5c:82:26:59;-72;bmstu_guest;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
112;3621;c0:25:5c:82:26:51;-75;bmstu_staff;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
113;3622;c0:25:5c:82:26:50;-75;bmstu_lb;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
114;3623;50:ff:20:1c:c0:1d;-75;e10-a3;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
115;3624;52:ff:20:4c:c0:1b;-80;;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
116;3625;b2:0c:d1:3b:7d:84;-81;DIRECT-84-HP M28 LaserJet;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
117;3626;50:17:ff:de:1c:c9;-83;bmstu_guest;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
118;3627;50:17:ff:de:1c:c0;-83;bmstu_lb;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
119;3628;c0:25:5c:82:1a:79;-85;bmstu_guest;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
120;3629;b8:a3:86:65:aa:3b;-85;e10-a1;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
121;3630;ac:92:32:e1:34:b8;-86;Honor 8X;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
122;3631;c0:25:5c:82:26:5e;-87;bmstu_staff;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
123;3632;50:17:ff:df:3f:49;-87;bmstu_guest;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
124;3633;c0:25:5c:82:26:5f;-88;bmstu_lb;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
125;3634;c0:25:5c:82:26:56;-88;bmstu_guest;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
126;3635;00:26:52:d8:84:90;-89;bmstu_lb;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
127;3636;00:26:52:d8:84:99;-91;bmstu_guest;4;2;Tue Apr 13 17:15:40 GMT+03:00 2021
128;3637;5c:f4:ab:ce:c1:d8;-67;Keenetic-0409;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
129;3638;52:ff:20:1c:c0:1b;-71;E10-NETWORK;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
130;3639;c0:25:5c:82:26:59;-72;bmstu_guest;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
131;3640;50:ff:20:1c:c0:1b;-73;e10-a3;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
132;3641;c0:25:5c:82:26:51;-75;bmstu_staff;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
133;3642;c0:25:5c:82:26:50;-75;bmstu_lb;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
134;3643;50:ff:20:1c:c0:1d;-75;e10-a3;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
135;3644;50:17:ff:de:1c:c9;-83;bmstu_guest;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
136;3645;50:17:ff:de:1c:c0;-83;bmstu_lb;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
137;3646;5c:f4:ab:ce:c1:da;-83;Keenetic-0409-5G;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
138;3647;b8:a3:86:65:aa:3b;-85;e10-a1;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
139;3648;50:17:ff:df:3f:40;-86;bmstu_lb;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
140;3649;c0:25:5c:82:26:5e;-87;bmstu_staff;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
141;3650;c0:25:5c:82:26:5f;-88;bmstu_lb;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
142;3651;c0:25:5c:82:26:56;-88;bmstu_guest;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
143;3652;00:26:52:d8:84:90;-88;bmstu_lb;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
144;3653;00:26:52:d8:84:99;-88;bmstu_guest;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
145;3654;50:17:ff:df:3f:49;-89;bmstu_guest;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
146;3655;50:17:ff:df:3f:41;-89;bmstu_staff;4;2;Tue Apr 13 17:15:46 GMT+03:00 2021
147;3656;c0:25:5c:82:1d:bf;-61;bmstu_lb;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
148;3657;c0:25:5c:82:1d:be;-61;bmstu_staff;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
149;3658;c0:25:5c:82:1d:b0;-63;bmstu_lb;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
150;3659;c0:25:5c:82:1d:b1;-64;bmstu_staff;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
151;3660;c0:25:5c:82:1d:b9;-65;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
152;3661;c0:25:5c:82:1d:b6;-66;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
153;3662;50:17:ff:df:70:46;-70;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
154;3663;c0:25:5c:82:67:f1;-70;bmstu_staff;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
155;3664;e4:18:6b:01:93:62;-70;;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
156;3665;00:26:52:d8:84:91;-72;bmstu_staff;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
157;3666;00:26:52:d8:84:90;-74;bmstu_lb;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
158;3667;00:26:52:d8:84:99;-74;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
159;3668;00:19:cb:8d:08:4b;-77;FMS-LAB;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
160;3669;c0:25:5c:82:67:ff;-78;bmstu_lb;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
161;3670;50:17:ff:df:70:49;-80;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
162;3671;c0:25:5c:82:67:fe;-80;bmstu_staff;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
163;3672;50:17:ff:df:70:41;-81;bmstu_staff;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
164;3673;c0:25:5c:82:67:f6;-81;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
165;3674;50:17:ff:df:70:4e;-81;bmstu_staff;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
166;3675;50:17:ff:df:70:40;-82;bmstu_lb;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
167;3676;50:17:ff:df:70:4f;-82;bmstu_lb;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
168;3677;b8:a3:86:b9:3c:b4;-83;DIR-300NRU;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
169;3678;c8:3a:35:58:bd:40;-85;Tenda_58BD40;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
170;3679;c0:25:5c:82:67:f0;-86;bmstu_lb;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
171;3680;00:26:52:d8:7e:b9;-87;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
172;3681;50:17:ff:df:3f:49;-89;bmstu_guest;10;2;Tue Apr 13 17:16:06 GMT+03:00 2021
173;3682;c0:25:5c:82:1d:b9;-45;bmstu_guest;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
174;3683;c0:25:5c:82:1d:b6;-51;bmstu_guest;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
175;3684;c0:25:5c:82:1d:bf;-51;bmstu_lb;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
176;3685;c0:25:5c:82:1d:be;-52;bmstu_staff;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
177;3686;c0:25:5c:82:1d:b1;-54;bmstu_staff;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
178;3687;c0:25:5c:82:1d:b0;-55;bmstu_lb;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
179;3688;d4:bf:7f:0f:ea:c1;-69;492_10;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
180;3689;c8:3a:35:58:bd:40;-82;Tenda_58BD40;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
181;3690;00:26:52:d8:7e:b9;-82;bmstu_guest;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
182;3691;00:26:52:d8:7e:b1;-83;bmstu_staff;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
183;3692;00:26:52:d8:7e:b0;-84;bmstu_lb;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
184;3693;86:f3:eb:77:18:40;-85;RAD+10011241472;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
185;3694;38:83:9a:97:aa:93;-85;70mai_d08_aa93;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
186;3695;00:26:52:d8:84:99;-87;bmstu_guest;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
187;3696;ec:58:ea:93:16:fc;-92;Hotspot 2.0;10;2;Tue Apr 13 17:16:19 GMT+03:00 2021
188;3697;c0:25:5c:82:1d:b1;-60;bmstu_staff;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
189;3698;c0:25:5c:82:1d:b9;-61;bmstu_guest;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
190;3699;c0:25:5c:82:1d:b6;-62;bmstu_guest;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
191;3700;c0:25:5c:82:1d:b0;-62;bmstu_lb;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
192;3701;c0:25:5c:82:1d:bf;-69;bmstu_lb;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
193;3702;c0:25:5c:82:1d:be;-69;bmstu_staff;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
194;3703;c8:3a:35:58:bd:40;-69;Tenda_58BD40;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
195;3704;d4:bf:7f:0f:ea:c1;-69;492_10;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
196;3705;00:26:52:d8:7e:b0;-83;bmstu_lb;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
197;3706;00:26:52:d8:7e:b1;-83;bmstu_staff;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
198;3707;86:f3:eb:77:18:40;-85;RAD+10011241472;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
199;3708;38:83:9a:97:aa:93;-85;70mai_d08_aa93;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
200;3709;d8:63:75:4a:41:bd;-86;Mi Phone;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
201;3710;00:26:52:d8:7e:b9;-88;bmstu_guest;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
202;3711;80:e0:1d:d8:00:51;-88;bmstu_guest;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
203;3712;80:e0:1d:d8:00:50;-88;bmstu_student;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
204;3713;80:e0:1d:d8:00:52;-89;bmstu_staff;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
205;3714;00:26:52:d8:84:99;-90;bmstu_guest;10;2;Tue Apr 13 17:16:29 GMT+03:00 2021
206;3715;c0:25:5c:82:1d:b1;-71;bmstu_staff;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
207;3716;c0:25:5c:82:1d:b9;-72;bmstu_guest;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
208;3717;c0:25:5c:82:1d:b0;-73;bmstu_lb;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
209;3718;86:f3:eb:77:18:40;-74;RAD+10011241472;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
210;3719;c0:25:5c:82:1d:bf;-75;bmstu_lb;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
211;3720;c0:25:5c:82:1d:be;-75;bmstu_staff;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
212;3721;c0:25:5c:82:1d:b6;-76;bmstu_guest;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
213;3722;d4:bf:7f:0f:ea:c1;-85;492_10;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
214;3723;94:0c:6d:bd:6c:4c;-86;wlcmtnndprtmntwrlssntwrk;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
215;3724;c8:3a:35:58:bd:40;-87;Tenda_58BD40;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
216;3725;00:26:52:d8:7e:b9;-87;bmstu_guest;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
217;3726;00:26:52:d8:84:91;-89;bmstu_staff;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
218;3727;c4:71:54:4c:07:46;-91;WP;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
219;3728;48:5b:39:e8:78:93;-93;426_asp;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
220;3729;50:17:ff:de:06:e0;-93;bmstu_lb;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
221;3730;50:17:ff:de:06:e9;-93;bmstu_guest;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
222;3731;00:26:52:d8:84:90;-95;bmstu_lb;10;2;Tue Apr 13 17:16:49 GMT+03:00 2021
223;3732;c0:25:5c:82:1d:b9;-76;bmstu_guest;10;2;Tue Apr 13 17:17:01 GMT+03:00 2021
224;3733;86:f3:eb:77:18:40;-76;RAD+10011241472;10;2;Tue Apr 13 17:17:01 GMT+03:00 2021
225;3734;c0:25:5c:82:1d:b0;-77;bmstu_lb;10;2;Tue Apr 13 17:17:01 GMT+03:00 2021
226;3735;94:0c:6d:bd:6c:4c;-77;wlcmtnndprtmntwrlssntwrk;10;2;Tue Apr 13 17:17:01 GMT+03:00 2021
227;3736;c0:25:5c:82:1d:b1;-78;bmstu_staff;10;2;Tue Apr 13 17:17:01 GMT+03:00 2021
